work_date,month,month_number,season,shift_hours,forecasted_trailers,units_per_trailer,forecasted_units,starting_backlog_units,available_units,actual_headcount,required_headcount,labor_hours,stow_rate_uph,tph,units_per_face,quality_defects_per_1000,count_errors_per_1000,processed_units,ending_backlog_units,backlog_hours,labor_cost,cost_per_unit,staffing_gap,recommended_action
2026-01-01,Jan,1,Peak,10.0,27,13469,363663,10000,373663,163,170,1630.0,252.2,34942.3,13.0,3.41,1.49,349423,24240,0.59,35860.0,0.1026,7,Labor share
2026-01-02,Jan,1,Peak,10.0,29,13321,386309,24240,410549,177,186,1770.0,259.4,39026.7,13.7,1.88,1.4,390267,20282,0.44,39490.0,0.1012,9,Labor share
2026-01-03,Jan,1,Peak,10.0,29,10069,292001,20282,312283,180,142,1800.0,260.8,31228.3,13.1,1.53,1.29,312283,0,0.0,40480.0,0.1296,-38,Offer VTO
2026-01-04,Jan,1,Peak,10.0,21,13253,278313,0,278313,158,126,1580.0,247.9,27831.3,11.9,3.48,1.95,278313,0,0.0,34760.0,0.1249,-32,Offer VTO
2026-01-05,Jan,1,Peak,10.0,32,12800,409600,0,409600,178,186,1780.0,246.6,37310.6,11.7,3.05,1.85,373106,36494,0.83,39820.0,0.1067,8,Labor share
2026-01-06,Jan,1,Peak,10.0,38,11253,427614,36494,464108,185,211,1850.0,255.3,40145.9,12.6,2.97,1.59,401459,62649,1.33,42130.0,0.1049,26,Add OT
2026-01-07,Jan,1,Peak,10.0,32,10055,321760,62649,384409,172,174,1720.0,260.3,38055.9,13.4,1.0,1.2,380559,3850,0.09,37840.0,0.0994,2,Use flex-trained team
2026-01-08,Jan,1,Peak,10.0,30,12857,385710,3850,389560,161,177,1610.0,249.8,34185.1,13.2,2.52,1.48,341851,47709,1.19,35420.0,0.1036,16,Add OT
2026-01-09,Jan,1,Peak,10.0,31,11189,346859,47709,394568,171,179,1710.0,254.1,36933.4,13.3,2.23,2.16,369334,25234,0.58,37620.0,0.1019,8,Labor share
2026-01-10,Jan,1,Peak,10.0,28,11287,316036,25234,341270,171,155,1710.0,245.6,34127.0,11.5,2.56,1.44,341270,0,0.0,37620.0,0.1102,-16,Offer VTO
2026-01-11,Jan,1,Peak,10.0,25,12978,324450,0,324450,169,147,1690.0,264.1,32445.0,12.8,1.91,1.0,324450,0,0.0,37180.0,0.1146,-22,Offer VTO
2026-01-12,Jan,1,Peak,10.0,36,11144,401184,0,401184,171,182,1710.0,248.4,36104.9,13.1,2.41,1.56,361049,40135,0.94,37620.0,0.1042,11,Labor share
2026-01-13,Jan,1,Peak,10.0,33,11682,385506,40135,425641,184,193,1840.0,237.9,37207.6,10.8,3.76,1.38,372076,53565,1.22,41800.0,0.1123,9,Labor share
2026-01-14,Jan,1,Peak,10.0,26,13106,340756,53565,394321,173,179,1730.0,266.0,39115.3,13.1,2.51,1.87,391153,3168,0.07,38170.0,0.0976,6,Labor share
2026-01-15,Jan,1,Peak,10.0,27,12049,325323,3168,328491,163,149,1630.0,255.0,32849.1,11.6,3.06,1.12,328491,0,0.0,35860.0,0.1092,-14,Offer VTO
2026-01-16,Jan,1,Peak,10.0,25,11824,295600,0,295600,178,134,1780.0,256.4,29560.0,12.7,2.75,2.5,295600,0,0.0,39820.0,0.1347,-44,Offer VTO
2026-01-17,Jan,1,Peak,10.0,33,13555,447315,0,447315,172,203,1720.0,262.4,38362.9,12.8,2.89,2.26,383629,63686,1.41,37840.0,0.0986,31,Add OT
2026-01-18,Jan,1,Peak,10.0,26,11604,301704,63686,365390,178,166,1780.0,242.8,36539.0,10.7,2.14,1.56,365390,0,0.0,39820.0,0.109,-12,Offer VTO
2026-01-19,Jan,1,Peak,10.0,21,13632,286272,0,286272,172,130,1720.0,255.3,28627.2,11.1,3.12,1.1,286272,0,0.0,37840.0,0.1322,-42,Offer VTO
2026-01-20,Jan,1,Peak,10.0,35,11206,392210,0,392210,179,178,1790.0,281.7,39221.0,14.8,3.16,1.88,392210,0,0.0,40150.0,0.1024,-1,Quality audit
2026-01-21,Jan,1,Peak,10.0,19,13781,261839,0,261839,171,119,1710.0,279.9,26183.9,13.4,2.85,1.93,261839,0,0.0,37620.0,0.1437,-52,Offer VTO
2026-01-22,Jan,1,Peak,10.0,29,11522,334138,0,334138,176,152,1760.0,257.2,33413.8,13.2,1.93,0.85,334138,0,0.0,39160.0,0.1172,-24,Offer VTO
2026-01-23,Jan,1,Peak,10.0,34,10731,364854,0,364854,176,166,1760.0,279.0,36485.4,13.4,3.31,1.25,364854,0,0.0,39160.0,0.1073,-10,Offer VTO
2026-01-24,Jan,1,Peak,10.0,23,11865,272895,0,272895,168,124,1680.0,253.3,27289.5,13.9,2.08,2.03,272895,0,0.0,36960.0,0.1354,-44,Offer VTO
2026-01-25,Jan,1,Peak,10.0,29,11492,333268,0,333268,164,151,1640.0,256.3,33326.8,10.4,3.16,2.11,333268,0,0.0,36080.0,0.1083,-13,Offer VTO
2026-01-26,Jan,1,Peak,10.0,31,13450,416950,0,416950,168,189,1680.0,254.7,36371.2,10.4,2.81,1.89,363712,53238,1.24,36960.0,0.1016,21,Add OT
2026-01-27,Jan,1,Peak,10.0,36,12672,456192,53238,509430,169,231,1690.0,275.5,39575.6,13.6,2.06,1.56,395756,113674,2.44,37180.0,0.0939,62,Add OT
2026-01-28,Jan,1,Peak,10.0,30,12459,373770,113674,487444,164,221,1640.0,262.2,36550.7,13.3,2.65,1.28,365507,121937,2.84,36080.0,0.0987,57,Add OT
2026-01-29,Jan,1,Peak,10.0,24,12421,298104,121937,420041,182,191,1820.0,260.8,40345.8,11.9,2.73,1.62,403458,16583,0.35,41140.0,0.102,9,Labor share
2026-01-30,Jan,1,Peak,10.0,29,11025,319725,16583,336308,163,153,1630.0,253.9,33630.8,12.7,2.93,1.04,336308,0,0.0,35860.0,0.1066,-10,Offer VTO
2026-01-31,Jan,1,Peak,10.0,26,13165,342290,0,342290,166,155,1660.0,266.4,34229.0,13.6,2.08,2.5,342290,0,0.0,36520.0,0.1067,-11,Offer VTO
2026-02-01,Feb,2,Non-Peak,10.0,12,12536,150432,0,150432,64,69,640.0,268.6,14611.8,12.7,2.79,1.86,146118,4314,0.25,14080.0,0.0964,5,Labor share
2026-02-02,Feb,2,Non-Peak,10.0,17,10521,178857,4314,183171,81,83,810.0,262.7,18086.9,15.3,3.11,1.75,180869,2302,0.11,17820.0,0.0985,2,Use flex-trained team
2026-02-03,Feb,2,Non-Peak,10.0,13,10821,140673,2302,142975,83,65,830.0,259.4,14297.5,12.6,3.28,1.86,142975,0,0.0,18370.0,0.1285,-18,Offer VTO
2026-02-04,Feb,2,Non-Peak,10.0,15,13831,207465,0,207465,80,94,800.0,268.1,18230.8,14.4,3.05,2.11,182308,25157,1.17,17600.0,0.0965,14,Add OT
2026-02-05,Feb,2,Non-Peak,10.0,11,12837,141207,25157,166364,88,76,880.0,254.6,16636.4,14.2,3.18,2.01,166364,0,0.0,20020.0,0.1203,-12,Offer VTO
2026-02-06,Feb,2,Non-Peak,10.0,19,11771,223649,0,223649,83,102,830.0,270.7,19097.9,13.3,2.83,1.31,190979,32670,1.45,18370.0,0.0962,19,Add OT
2026-02-07,Feb,2,Non-Peak,10.0,9,12538,112842,32670,145512,72,66,720.0,237.0,14504.4,10.8,3.62,1.95,145044,468,0.03,15840.0,0.1092,-6,Quality audit
2026-02-08,Feb,2,Non-Peak,10.0,15,11696,175440,468,175908,71,80,710.0,262.1,15817.7,14.5,3.54,1.28,158177,17731,0.95,15620.0,0.0988,9,Labor share
2026-02-09,Feb,2,Non-Peak,10.0,14,13085,183190,17731,200921,81,91,810.0,244.1,16806.3,12.5,3.87,1.74,168063,32858,1.66,17820.0,0.106,10,Labor share
2026-02-10,Feb,2,Non-Peak,10.0,12,12795,153540,32858,186398,75,85,750.0,272.4,17365.5,14.2,2.14,1.26,173655,12743,0.62,16500.0,0.095,10,Labor share
2026-02-11,Feb,2,Non-Peak,10.0,17,12513,212721,12743,225464,85,103,850.0,268.7,19413.6,13.0,2.37,2.82,194136,31328,1.37,19030.0,0.098,18,Add OT
2026-02-12,Feb,2,Non-Peak,10.0,11,13884,152724,31328,184052,85,84,850.0,275.8,18405.2,14.2,2.87,1.63,184052,0,0.0,19030.0,0.1034,-1,Maintain plan
2026-02-13,Feb,2,Non-Peak,10.0,12,11683,140196,0,140196,78,64,780.0,263.8,14019.6,12.0,2.57,2.19,140196,0,0.0,17160.0,0.1224,-14,Offer VTO
2026-02-14,Feb,2,Non-Peak,10.0,11,11954,131494,0,131494,73,60,730.0,258.4,13149.4,13.1,4.19,1.43,131494,0,0.0,16060.0,0.1221,-13,Offer VTO
2026-02-15,Feb,2,Non-Peak,10.0,10,15000,150000,0,150000,81,68,810.0,275.5,15000.0,13.9,2.74,2.46,150000,0,0.0,17820.0,0.1188,-13,Offer VTO
2026-02-16,Feb,2,Non-Peak,10.0,12,12568,150816,0,150816,86,69,860.0,268.7,15081.6,12.7,2.55,1.51,150816,0,0.0,19360.0,0.1284,-17,Offer VTO
